GDP/breakdown at constant 2005 prices in US Dollars (all countries),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,IndicatorName,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Albania,Exports of goods and services,377690771,392818166,408884990,424636504,441933737,461135606,475619037,498166734,523871913,521623832,572187190,609075242,508685262,475433814,440965691,409788628,398408412,408882058,433625313,552245034,382212157,133703215,208042148,355335904,319793764,389967444,449860621,334328603,413901684,716279252,885529634,896574626,1130896256,1351409279,1576136577,1861001378,2142297856,2474182763,2829507350,2952713303,3447754831,3703073584,3679426615,3969688066,4361917276
Albania,Imports of goods and services,206923871,215241837,223755586,232880097,242256207,251370741,262546989,272710840,280812130,299119841,305632911,306322904,360386397,308890212,278188833,266981962,228098781,227561742,292850777,360100148,361297032,321890251,1008481848,1104389518,1033664468,1068126083,1436125802,1277628358,1440937750,1613840833,2093313677,2275501967,2832152510,3191758465,3396907573,3872105905,4146004703,4890056035,5248630322,5179328778,5212587856,5532266430,5168172239,5426193911,5989331029
Albania,Gross Domestic Product (GDP),3161267169,3287743678,3419710728,3557111631,3698351882,3848253720,4003335053,4156626927,4335431777,4507119255,4652757729,4920085721,5065161965,5121128878,5057032693,5147080017,5435043854,5392208843,5315637338,5838512608,5279437649,3801082064,3527424546,3866063426,4186955265,4743814207,5175583886,4614661571,5030386508,5709547508,6087788776,6571167982,6849217467,7242353751,7653228818,8094011548,8533598221,9037534184,9718626912,10044616727,10416960298,10682117301,10855555754,11006734138,11238147579
Albania,"Agriculture, hunting, forestry, fishing (ISIC A-B)",561452984,584015234,607480258,631516942,657289163,683685254,709484134,741085908,769409166,792845447,844433867,861061430,867298830,943271136,904148525,961951772,998558048,967381042,904811760,1019053458,1056098621,802928573,951457084,1050476091,1137625311,1287871817,1326604804,1099620994,1168238913,1231279229,1313637897,1349027927,1376694595,1417216137,1506548126,1517004164,1564421048,1607124435,1720743380,1753513336,1887652555,1977750814,2084726604,2097364375,2138965383
Albania,"Mining, Manufacturing, Utilities (ISIC C-E)",1539261097,1601155313,1665225492,1731536125,1802174719,1873233224,1946735003,2031845421,2103662409,2185000097,2309852281,2334286110,2448892906,2444685850,2455922487,2463311040,2639773603,2736289327,2732690918,2820389092,2791685086,1733416748,845721618,761328067,746146158,790798830,906807326,696925382,763655886,945900356,942828102,990916728,859990537,1126903253,1264950440,1346856518,1456157585,1180326964,1441505392,1517894478,1806228745,1942929933,1973661373,2129669415,2180769379
Albania,Manufacturing (ISIC D),251205499,261306532,271762753,282584550,294112560,305709520,317704685,331594113,343316327,356588433,376962795,380960103,399648045,398962977,400842193,401952478,430805415,446753327,445592211,460473878,456380651,281568369,138669189,124884201,118865724,133293635,147108230,99860621,148191687,182854094,189514137,204886559,211334714,264902526,313289699,379742310,451729818,521209612,526462623,541425117,596080576,670257022,636097223,612617513,632527181
Albania,Construction (ISIC F),178638681,185822832,193260778,200948558,209155705,217409096,225895766,235842294,244174991,253394834,268346758,270932440,283252312,285522971,284252446,281961395,317283852,308108661,302382964,388702424,252798898,181770123,194478147,252798898,290696040,352420726,417549346,346965038,300815221,359196519,524400920,696133649,845613793,1040568567,1113827132,1183801150,1308589481,1467661192,1627233311,1625556405,1506444250,1557139703,1335020472,1350072106,1332585318
Albania,"Wholesale, retail trade, restaurants and hotels (ISIC G-H)",486583395,505921473,526273759,547744693,568670179,592376165,617556531,636359331,669588522,699688723,696047736,779819629,798402344,787267025,777625658,784973219,822906888,796950482,799774048,900177805,624832495,551667098,601419568,697412570,774382568,878862756,1055923018,1052188081,1075420419,1154220093,1041673865,1074683333,1091658323,1034708309,1057623093,1118244249,1141017085,1207889363,1296570409,1320735027,1347629878,1359541932,1413799914,1422547989,1494021782
Albania,"Transport, storage and communication (ISIC I)",124813197,129772987,134993388,140503091,145866490,151948748,158418222,163214751,171759555,179522607,178432919,200110126,204990575,201298775,200152095,201872820,207803909,209189505,205158344,214844998,182944677,131720167,112095193,126730767,149349382,177622650,175959517,151709169,185030687,282894934,334827858,386944330,428392078,457164112,486317779,556534526,592825748,658135334,697983198,767910676,732165885,784176398,761747356,700468051,627060158
Albania,Other Activities (ISIC J-P),553479431,575476136,598626490,623049228,646851626,673816773,702458722,723846945,761644492,795881695,791742741,887030190,908162356,895511822,884529535,892871366,936100837,906463930,909658254,1024266915,710431706,627427492,685127365,791195557,881505457,1006073782,1193798625,1258802044,1321705194,1439787185,1504216299,1609686926,1635500149,1695890092,1754718132,1831133733,1912756815,2111610918,2239710701,2370668358,2497705246,2549893997,2674809155,2719413406,2823577967
